Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,,,,0.14,0.17,0.17,0.2,0.2,0.23,0.25,0.25,0.26,0.29,0.29,0.35,0.4,0.44,0.54,0.8,0.92,1,1.1,1.12,1.2,1.55,1.81,1.79,1.78,1.68,1.93,1.9,1.88,2.21,2.76,3.1,3.31,3.49,3.57,3.55,3.94,4.43,5.02,5.24,4.66,4.67,5.33,5.28,5.41,5.84,7.22,8.83,10.28,11.74,15.47,12.77,17.67,22.5,21.37,21.09
Austria,,,0.08,0.08,0.08,0.09,0.1,0.11,0.11,0.12,0.13,0.14,0.15,0.17,0.2,0.24,0.26,0.32,0.43,0.59,0.63,0.71,0.82,1.01,1.29,1.46,1.32,1.3,1.29,1.31,1.43,1.87,2.26,2.59,2.7,3.42,3.42,3.7,3.35,3.74,5.02,4.97,4.96,5.3,5.5,5.63,5.9,6.53,8.09,9.85,10.42,11.39,13.62,15.02,11.37,12.7,14.77,13.89,14.55
Belgium,,,0.26,0.25,0.27,0.31,0.33,0.36,0.4,0.47,0.54,0.57,0.59,0.68,0.83,0.97,1.03,1.34,1.86,2.35,2.39,2.73,3.13,3.73,4.7,5.38,4.63,4.37,4.32,4.32,4.44,5.73,6.92,7.67,8.34,9.83,9.81,10.29,10.49,11.94,15.04,14.96,14.32,15.03,14.92,15.66,15.86,17.95,21.27,25.54,27.84,30.55,35.87,39.09,30.79,33.94,39.59,37.18,39.1
Brazil,,,,,,,,,,0.12,0.13,0.15,0.14,0.16,0.19,0.23,0.24,0.33,0.52,0.66,0.72,0.84,1.01,1.05,1.27,1.68,1.94,1.68,1.82,2.25,2.14,1.86,2.19,2.82,2.87,2.62,2.64,2.98,3.21,3.63,3.88,3.98,4.42,4.26,4,4.59,4.86,5.04,6.1,8.06,9.88,11.48,13.39,16.5,12.75,16.83,21.34,20.22,20.18
Canada,,,0.42,0.42,0.45,0.46,0.49,0.49,0.54,0.64,0.68,0.8,0.88,1.06,1.15,1.34,1.47,1.69,2.12,2.77,2.73,3.25,3.49,3.89,4.67,5.43,5.83,5.71,6.13,7.23,7.29,7.24,7.86,9.37,9.76,10.64,10.62,11.22,12.11,13.77,15.92,16.85,17.93,17.89,19.94,23.19,21.75,21.04,22.68,26.41,30.01,32.35,34.93,37.74,26.27,32.26,37.63,37.93,38.14
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,1.49,1.36,1.43,1.6,1.52,1.51,1.8,2.75,3.5,4.95,5.71,5.38,4.62,5.93,6.79,6.52,6.45
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,7.65,10.08,12.4,12.59,15.23,15.31,16.24,20.77,22.22,27.14,36.54,49.44,63.5,80.75,101.51,119.16,100.13,131.48,158.2,170.73,184.17
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.73,1.21,1.33,1.78,1.85,1.86,2.15,2.19,2.42,2.78,3.19,4.06,5.59,6.5,7.91,10.18,12.07,9.36,11.06,13.57,13.11,13.45
Denmark,,,0.1,0.11,0.12,0.12,0.13,0.14,0.16,0.18,0.19,0.2,0.21,0.22,0.25,0.28,0.31,0.37,0.52,0.64,0.73,0.76,0.84,0.98,1.23,1.4,1.33,1.26,1.34,1.33,1.41,1.77,2.14,2.38,2.46,3.07,3.15,3.46,3.19,3.58,4.29,4.29,4.09,4.06,4.2,4.21,4.25,4.68,5.44,6.3,6.82,7.55,8.45,9.59,7.62,7.98,9.33,8.85,9.27
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.11,0.15,0.17,0.24,0.27,0.25,0.32,0.33,0.36,0.47,0.49,0.64,0.81,0.92,1.03,0.75,0.97,1.39,1.34,1.36
